"File","Lines","Bytes","Modified"
"D:\IMS\3\inventory-management-system-full-project\backend\app\services\stock_service.py","106","3775","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\app\utils\__init__.py","1","26","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\app\utils\input_validation.py","32","1528","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\app\utils\seed.py","127","5493","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\app\utils\state_mappings.py","92","3464","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\run_migration.py","352","21372","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\setup_db.py","11","423","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\backend\verify_columns.py","30","1180","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\CHANGES.md","397","17673","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\01_schema.sql","731","30984","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\02_seed_data.sql","29","1103","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\03_queries.sql","55","3150","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\04_inventory_count_modules.sql","56","2518","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\05_customer_payment_terms_optional.sql","8","264","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\06_company_country_field.sql","6","204","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\07_company_ambassador_logo_field.sql","6","263","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\08_action_logs_rotation.sql","32","1645","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\08_inventory_count_difference_actions.sql","24","1164","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\09_security_update1.sql","13","446","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\10_security_update2.sql","104","3010","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\11_gst_report_audit_logs.sql","23","923","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\ALL_UPDATES.sql","127","6120","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\ALL_UPDATES_03.sql","217","11372","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\ALL_UPDATES_2.sql","365","18074","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\CLEAR_ALL_DATA.sql","21","820","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\README.md","63","3244","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\database\VERIFY_ALL_TABLES_CLEARED.sql","46","1350","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\BACKEND_UPDATES.md","175","6452","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\BACKEND_UPDATES_2.md","1459","81414","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\DATABASE_UPDATES.md","124","5200","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\DATABASE_UPDATES_2.md","780","34222","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\design\DESIGN_SYSTEM_MASTER.md","434","17051","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\FRONTEND_UPDATES.md","211","8472","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\FRONTEND_UPDATES_2.md","1771","89351","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\guides\CODING_STANDARDS.md","374","12232","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\guides\DATABASE.md","239","7595","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\guides\FIRST_TIME_SETUP_CHECKLIST.md","184","7445","28-04-2026 04:21:32"
